"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.541772375E0,-1.165453594E-1,6.917967833E-2,5.062226951E-2,1.446764074E-1
2.551700375E0,-1.512131446E-1,9.786936169E-2,-1.255397201E-2,1.805586588E-1
2.561629375E0,-8.394101079E-2,8.304873481E-2,3.040844500E-2,1.219338311E-1
2.571557375E0,-1.578535534E-1,7.799555277E-2,3.756251335E-3,1.761112148E-1
2.581486375E0,-1.017270714E-1,8.300124446E-2,1.512791634E-2,1.321607259E-1
2.591414375E0,-1.365395752E-1,5.793622267E-2,1.003265262E-2,1.486617490E-1
2.601343375E0,-1.349825439E-1,8.729556754E-2,-1.407541752E-2,1.613657977E-1
2.611271375E0,-1.046900474E-1,5.547431647E-2,2.917936027E-2,1.220198380E-1
2.621200375E0,-1.600804655E-1,7.201532210E-2,-1.364272356E-2,1.760627330E-1
2.631128375E0,-8.967429710E-2,6.293079550E-2,1.225167096E-2,1.102355116E-1
2.641057375E0,-1.734073297E-1,6.954950558E-2,2.392095923E-2,1.883598896E-1
2.650985375E0,-1.051296301E-1,8.293520747E-2,1.808251441E-2,1.351201876E-1
2.660913375E0,-1.438699189E-1,5.817001993E-2,2.481324434E-2,1.571559794E-1
2.670842375E0,-1.237894474E-1,8.578050829E-2,1.075887680E-4,1.506058912E-1
2.680770375E0,-1.085031446E-1,6.419065121E-2,3.408458948E-2,1.305952960E-1
2.690699375E0,-1.476886258E-1,8.194552054E-2,-2.759359539E-2,1.711385551E-1
2.700627375E0,-9.764902216E-2,7.250832461E-2,3.317944050E-2,1.260700755E-1
2.710556375E0,-1.612659336E-1,7.661325272E-2,9.522190690E-3,1.787930758E-1
2.720484375E0,-1.021951136E-1,8.933415360E-2,-1.996941090E-2,1.371977026E-1
2.730413375E0,-1.250654104E-1,7.577393060E-2,8.021210432E-3,1.464492583E-1
2.740341375E0,-1.359573570E-1,9.086230514E-2,-2.463431954E-3,1.635433579E-1
2.750270375E0,-1.019362646E-1,6.487009767E-2,4.454116523E-2,1.287751801E-1
2.760198375E0,-1.570397489E-1,9.414533400E-2,-5.311025977E-3,1.831748717E-1
2.770127375E0,-8.894997326E-2,8.513579794E-2,2.582832098E-2,1.258066135E-1
2.780055375E0,-1.646776560E-1,7.332355438E-2,3.240877748E-2,1.831540414E-1
2.789984375E0,-9.886219150E-2,1.062857160E-1,-3.514761329E-3,1.451989665E-1
2.799912375E0,-1.391320753E-1,7.261869080E-2,2.761932313E-2,1.593550616E-1
2.809840375E0,-1.349235693E-1,1.028858890E-1,-1.310127139E-2,1.701808421E-1
2.819769375E0,-1.067340695E-1,6.363384096E-2,2.806254208E-2,1.273928318E-1
2.829697375E0,-1.547739528E-1,1.012213055E-1,-5.922060013E-3,1.850291867E-1
2.839626375E0,-9.192080649E-2,8.442146919E-2,4.931541681E-2,1.341954897E-1
2.849554375E0,-1.585028136E-1,7.841051322E-2,6.647699475E-3,1.769619801E-1
2.859483375E0,-1.031198690E-1,9.572261129E-2,1.128629565E-2,1.411520675E-1
2.869411375E0,-1.382658286E-1,6.985730667E-2,4.167135179E-2,1.604181543E-1
2.879340375E0,-1.468925822E-1,8.394287459E-2,-2.473372221E-4,1.691859866E-1
2.889268375E0,-1.036968521E-1,6.183081547E-2,2.699600995E-2,1.237128588E-1
2.899197375E0,-1.631854283E-1,8.607266807E-2,4.982997179E-3,1.845611510E-1
2.909125375E0,-9.207367463E-2,7.762836590E-2,3.237544835E-2,1.247072348E-1
2.919054375E0,-1.533016422E-1,7.468652207E-2,3.236667752E-2,1.735715181E-1
2.928982375E0,-9.247574380E-2,1.056977967E-1,-1.911454797E-3,1.404544093E-1
2.938911375E0,-1.395038852E-1,6.460908344E-2,3.745492458E-2,1.582357071E-1
2.948839375E0,-1.328336739E-1,8.798063281E-2,-1.917302012E-3,1.593394261E-1
2.958767375E0,-1.103530849E-1,6.885297429E-2,3.535518944E-2,1.347906704E-1
2.968696375E0,-1.647826136E-1,8.309532981E-2,-1.674408674E-2,1.853065245E-1
2.978624375E0,-1.120396046E-1,8.049715608E-2,4.672100723E-2,1.456554759E-1
