"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.444629750E0,-9.930441460E-2,4.453623895E-1,-8.674098837E-1,9.801065917E-1
1.454558750E0,-4.563775206E-1,3.563820930E-1,-2.128386497E-3,5.790450479E-1
1.464487750E0,-3.339031302E-1,5.266289661E-1,-3.149748892E-1,6.985975588E-1
1.474416750E0,-2.712643392E-1,5.486140584E-1,-1.163479555E0,1.314627857E0
1.484346750E0,-1.758388395E-1,4.194885334E-1,-1.181940969E0,1.266441622E0
1.494275750E0,-2.039000843E-2,3.353000300E-1,1.061406466E0,1.113294906E0
1.504204750E0,-3.536871113E-3,3.149359321E-1,-1.153272656E0,1.195506156E0
1.514133750E0,-2.923785801E-1,1.387089105E-1,-3.439232844E-1,4.722378866E-1
1.524062750E0,1.439432649E-1,1.280540776E-1,1.636251499E0,1.647554697E0
1.533991750E0,-1.541113171E-1,3.876670356E-1,-8.224003565E-1,9.221596255E-1
1.543921750E0,-5.272604654E-1,1.594031934E-1,-1.084325212E-1,5.614005594E-1
1.553850750E0,9.626402691E-2,5.975171003E-1,-7.646462381E-1,9.751806589E-1
1.563779750E0,-3.572522683E-1,3.983592542E-1,-9.308626986E-1,1.073696718E0
1.573708750E0,-2.182082575E-1,1.771217552E-1,-4.203253430E-1,5.056286718E-1
1.583637750E0,-4.724450845E-1,-3.818805579E-2,-3.946624982E-1,6.167829221E-1
1.593566750E0,-4.686294473E-1,-1.865690833E-1,4.949597883E-1,7.066871824E-1
1.603496750E0,-3.402852199E-1,2.074460551E-2,1.029449678E0,1.084431192E0
1.613425750E0,-5.214884961E-1,-2.571098563E-1,6.449297601E-1,8.683260478E-1
1.623354750E0,-1.961167276E-1,-3.762086125E-1,7.478372473E-1,8.597995344E-1
1.633283750E0,-1.776987658E-1,-2.740169708E-3,-3.920675039E-2,1.819932118E-1
1.643212750E0,-2.897974912E-1,-1.459133380E-1,-3.161238670E-2,3.259948329E-1
1.653141750E0,-1.527018823E-1,2.041697323E-1,-6.687022001E-1,7.156575835E-1
1.663070750E0,-3.713429617E-1,1.800381819E-1,4.925635993E-1,6.425949280E-1
1.673000750E0,-6.831060849E-2,2.480692204E-2,4.758054793E-1,4.813237754E-1
1.682929750E0,-3.539984024E-1,-5.309242576E-2,-4.921583873E-1,6.085668022E-1
1.692858750E0,-1.347543107E-1,-2.460311003E-2,4.927167964E-1,5.114038313E-1
1.702787750E0,-1.023238254E-1,-3.267247594E-1,1.973739338E-1,3.951907177E-1
1.712716750E0,-3.302081285E-1,-9.554372303E-2,2.619418126E-1,4.321799675E-1
1.722645750E0,-3.357691229E-1,-1.561222659E-1,1.690925304E0,1.730994931E0
1.732575750E0,-1.570136922E-1,1.041547348E-1,3.608082891E-1,4.070431547E-1
1.742504750E0,-4.554780726E-1,3.414455633E-1,-7.984793973E-1,9.806195466E-1
1.752433750E0,-3.117891799E-1,3.611438461E-1,8.942018259E-1,1.013525666E0
1.762362750E0,-1.215234138E-3,1.105766952E-1,-9.346639735E-1,9.411829926E-1
1.772291750E0,-3.813377901E-1,-4.066167286E-1,-1.045914853E-1,5.671816755E-1
1.782220750E0,1.261516677E-2,-2.242517569E-1,1.363366038E-1,2.627463842E-1
1.792149750E0,-2.862785637E-1,-9.287615016E-2,1.542226517E-1,3.381804572E-1
1.802079750E0,-2.967459385E-1,-2.316915714E-1,1.606840589E0,1.650356269E0
1.812008750E0,-3.825122399E-2,-2.672543004E-2,3.718542641E-1,3.747705945E-1
1.821937750E0,-3.482762076E-1,-5.615417406E-2,1.655440307E-1,3.896850448E-1
