"Time (s)","Recording (a.u.)"
5.645833333E-3,2.296762913E-2
5.666666667E-3,2.351957932E-2
5.687500000E-3,2.432137728E-2
5.708333333E-3,2.528644353E-2
5.729166667E-3,2.600672096E-2
5.750000000E-3,2.677209303E-2
5.770833333E-3,2.742068656E-2
5.791666667E-3,2.773238905E-2
5.812500000E-3,2.800910547E-2
5.833333333E-3,2.812164277E-2
5.854166667E-3,2.831380256E-2
5.875000000E-3,2.891637012E-2
5.895833333E-3,3.001742065E-2
5.916666667E-3,3.123893403E-2
5.937500000E-3,3.200065345E-2
5.958333333E-3,3.274061158E-2
5.979166667E-3,3.337790817E-2
6.000000000E-3,3.356878087E-2
6.020833333E-3,3.417079896E-2
6.041666667E-3,3.526527062E-2
6.062500000E-3,3.593663871E-2
6.083333333E-3,3.651431948E-2
6.104166667E-3,3.751121834E-2
6.125000000E-3,3.841409087E-2
6.145833333E-3,3.944680840E-2
6.166666667E-3,4.035450891E-2
6.187500000E-3,4.058004171E-2
6.208333333E-3,4.077223316E-2
6.229166667E-3,4.103202745E-2
6.250000000E-3,4.141879827E-2
6.270833333E-3,4.211521149E-2
6.291666667E-3,4.279918224E-2
6.312500000E-3,4.325937480E-2
6.333333333E-3,4.363576323E-2
6.354166667E-3,4.436453432E-2
6.375000000E-3,4.519525170E-2
6.395833333E-3,4.570149630E-2
6.416666667E-3,4.600418359E-2
6.437500000E-3,4.615021124E-2
6.458333333E-3,4.611993954E-2
6.479166667E-3,4.602728784E-2
6.500000000E-3,4.622536898E-2
6.520833333E-3,4.650668055E-2
6.541666667E-3,4.661288112E-2
6.562500000E-3,4.699445143E-2
6.583333333E-3,4.751632363E-2
6.604166667E-3,4.786798358E-2
6.625000000E-3,4.822218046E-2
6.645833333E-3,4.850438610E-2
6.666666667E-3,4.863473028E-2
6.687500000E-3,4.865285382E-2
6.708333333E-3,4.855573550E-2
6.729166667E-3,4.855705798E-2
6.750000000E-3,4.861463606E-2
6.770833333E-3,4.885175824E-2
6.791666667E-3,4.925599322E-2
6.812500000E-3,4.940479249E-2
6.833333333E-3,4.979284853E-2
6.854166667E-3,5.026621744E-2
6.875000000E-3,5.045413971E-2
6.895833333E-3,5.068967864E-2
6.916666667E-3,5.060828477E-2
6.937500000E-3,5.035729334E-2
6.958333333E-3,5.021195114E-2
6.979166667E-3,5.006535351E-2
7.000000000E-3,5.037123710E-2
7.020833333E-3,5.115251616E-2
7.041666667E-3,5.183972046E-2
7.062500000E-3,5.236542225E-2
7.083333333E-3,5.285880715E-2
7.104166667E-3,5.319415033E-2
7.125000000E-3,5.348949507E-2
7.145833333E-3,5.386854708E-2
7.166666667E-3,5.415374041E-2
7.187500000E-3,5.434546620E-2
7.208333333E-3,5.474106967E-2
7.229166667E-3,5.516147614E-2
7.250000000E-3,5.532508343E-2
7.270833333E-3,5.516970158E-2
7.291666667E-3,5.479624867E-2
7.312500000E-3,5.461250246E-2
7.333333333E-3,5.446489900E-2
7.354166667E-3,5.434355885E-2
7.375000000E-3,5.432837456E-2
7.395833333E-3,5.415869132E-2
7.416666667E-3,5.399759114E-2
7.437500000E-3,5.397073925E-2
7.458333333E-3,5.404452980E-2
7.479166667E-3,5.387682095E-2
7.500000000E-3,5.327024311E-2
7.520833333E-3,5.294692516E-2
7.541666667E-3,5.298138037E-2
7.562500000E-3,5.286555737E-2
7.583333333E-3,5.304178596E-2
7.604166667E-3,5.345864594E-2
7.625000000E-3,5.375059694E-2
7.645833333E-3,5.373064429E-2
7.666666667E-3,5.323041230E-2
7.687500000E-3,5.287718028E-2
7.708333333E-3,5.286369473E-2
7.729166667E-3,5.305840075E-2
7.750000000E-3,5.319826305E-2
7.770833333E-3,5.330460519E-2
7.791666667E-3,5.365276337E-2
7.812500000E-3,5.368881300E-2
7.833333333E-3,5.369484797E-2
7.854166667E-3,5.386670679E-2
7.875000000E-3,5.397246033E-2
7.895833333E-3,5.414701253E-2
7.916666667E-3,5.382512510E-2
7.937500000E-3,5.327131227E-2
7.958333333E-3,5.299162120E-2
7.979166667E-3,5.309788883E-2
8.000000000E-3,5.410627276E-2
