"Frequency (Hz)","Absolute Amplitude (a.u.)"
1.061718750E4,1.076400258E-2
1.064062500E4,1.571427742E-2
1.066406250E4,1.179586469E-2
1.068750000E4,2.189388683E-2
1.071093750E4,1.616870253E-2
1.073437500E4,1.809750026E-2
1.075781250E4,2.113735847E-2
1.078125000E4,1.818329348E-2
1.080468750E4,1.698010571E-2
1.082812500E4,1.173623929E-2
1.085156250E4,1.215745065E-2
1.087500000E4,1.156890201E-2
1.089843750E4,1.112235479E-2
1.092187500E4,1.599814334E-2
1.094531250E4,1.329155209E-2
1.096875000E4,1.041257599E-2
1.099218750E4,1.048870348E-2
1.101562500E4,8.719521689E-3
1.103906250E4,1.205858019E-2
1.106250000E4,8.060086655E-3
1.108593750E4,1.217736691E-2
1.110937500E4,1.362584856E-2
1.113281250E4,1.247031881E-2
1.115625000E4,1.111980406E-2
1.117968750E4,3.357232399E-3
1.120312500E4,6.856941558E-3
1.122656250E4,1.357303101E-2
1.125000000E4,1.557515057E-2
1.127343750E4,1.238340900E-2
1.129687500E4,1.462141291E-2
1.132031250E4,8.624997465E-3
1.134375000E4,1.078660891E-2
1.136718750E4,1.088673466E-2
1.139062500E4,1.520092857E-2
1.141406250E4,1.065635654E-2
1.143750000E4,1.199467281E-2
1.146093750E4,1.416632611E-2
1.148437500E4,1.381343992E-2
1.150781250E4,1.369259610E-2
1.153125000E4,1.341128993E-2
1.155468750E4,1.082173633E-2
1.157812500E4,1.421435184E-2
1.160156250E4,1.480646411E-2
1.162500000E4,9.250149763E-3
1.164843750E4,7.184778915E-3
1.167187500E4,1.214846703E-2
1.169531250E4,1.587643883E-2
1.171875000E4,1.084489140E-2
1.174218750E4,6.895420102E-3
1.176562500E4,5.414396311E-3
1.178906250E4,9.631774165E-3
1.181250000E4,1.714005126E-2
1.183593750E4,1.581022829E-2
1.185937500E4,1.845402990E-2
1.188281250E4,8.901056893E-3
1.190625000E4,1.736132812E-2
1.192968750E4,1.669896029E-2
1.195312500E4,1.401428009E-2
1.197656250E4,9.312626236E-3
1.200000000E4,1.082030288E-2
1.202343750E4,1.610897336E-2
1.204687500E4,2.237948118E-2
1.207031250E4,2.045420534E-2
1.209375000E4,1.189347862E-2
1.211718750E4,1.450539287E-2
1.214062500E4,2.099639211E-2
1.216406250E4,1.531789702E-2
1.218750000E4,1.320765221E-2
1.221093750E4,1.514960347E-2
1.223437500E4,1.348575791E-2
1.225781250E4,1.115008727E-2
1.228125000E4,1.217314950E-2
1.230468750E4,1.503682299E-2
1.232812500E4,1.869432294E-2
1.235156250E4,1.798269721E-2
1.237500000E4,1.313151499E-2
1.239843750E4,1.073214090E-2
1.242187500E4,8.411368745E-3
1.244531250E4,1.194941505E-2
1.246875000E4,8.438841742E-3
1.249218750E4,1.613662009E-2
1.251562500E4,1.964289391E-2
1.253906250E4,9.874798178E-3
1.256250000E4,9.085772843E-3
1.258593750E4,1.069419164E-2
1.260937500E4,1.545409957E-2
1.263281250E4,7.584490429E-3
1.265625000E4,7.532327661E-3
1.267968750E4,7.586064323E-3
1.270312500E4,1.447163801E-2
1.272656250E4,2.043068854E-2
1.275000000E4,1.328215204E-2
1.277343750E4,7.824069361E-3
1.279687500E4,1.510385542E-2
1.282031250E4,9.285661955E-3
1.284375000E4,8.512709924E-3
1.286718750E4,1.484834422E-2
1.289062500E4,9.339755588E-3
1.291406250E4,1.237582304E-2
1.293750000E4,1.238554973E-2
1.296093750E4,1.548930833E-2
1.298437500E4,9.067244939E-3
1.300781250E4,1.142473976E-2
1.303125000E4,1.064444592E-2
1.305468750E4,1.763401246E-2
1.307812500E4,1.642613546E-2
1.310156250E4,9.566754241E-3
1.312500000E4,5.877828194E-3
1.314843750E4,2.304158505E-2
1.317187500E4,2.405652276E-2
1.319531250E4,1.508052189E-2
1.321875000E4,1.026977368E-2
1.324218750E4,9.664391806E-3
1.326562500E4,1.203725916E-2
1.328906250E4,5.238009740E-3
1.331250000E4,1.053158065E-2
1.333593750E4,6.908736974E-3
1.335937500E4,1.047342783E-2
1.338281250E4,8.362889175E-3
1.340625000E4,9.682369782E-3
1.342968750E4,6.496792034E-3
1.345312500E4,5.086737600E-3
1.347656250E4,7.564043772E-3
1.350000000E4,6.346124347E-3
1.352343750E4,7.706656124E-3
1.354687500E4,1.239462480E-2
1.357031250E4,8.227837960E-3
1.359375000E4,5.964126635E-3
1.361718750E4,2.105487993E-2
1.364062500E4,1.477674582E-2
1.366406250E4,1.554656107E-2
1.368750000E4,2.048878382E-2
1.371093750E4,1.366347516E-2
1.373437500E4,1.112510591E-2
1.375781250E4,8.728035393E-3
1.378125000E4,1.194969670E-2
1.380468750E4,1.172725544E-2
1.382812500E4,8.204532578E-3
1.385156250E4,1.649605226E-2
1.387500000E4,1.898714402E-2
1.389843750E4,1.468399973E-2
1.392187500E4,1.170705712E-2
1.394531250E4,9.081514107E-3
1.396875000E4,1.014473703E-2
1.399218750E4,9.504971127E-3
1.401562500E4,7.034998884E-3
1.403906250E4,1.102711680E-2
1.406250000E4,5.510253335E-3
1.408593750E4,1.467191953E-2
1.410937500E4,1.062385218E-2
1.413281250E4,1.830116701E-2
1.415625000E4,2.266864912E-2
1.417968750E4,1.940770679E-2
1.420312500E4,1.513929101E-2
1.422656250E4,1.982843802E-2
1.425000000E4,2.414127955E-2
1.427343750E4,2.144177342E-2
1.429687500E4,2.086954746E-2
1.432031250E4,1.624497995E-2
1.434375000E4,1.638788938E-2
1.436718750E4,1.558076594E-2
1.439062500E4,1.220197586E-2
1.441406250E4,2.010610368E-2
1.443750000E4,1.851669187E-2
1.446093750E4,3.107379048E-3
1.448437500E4,7.491300635E-3
1.450781250E4,6.609746451E-3
1.453125000E4,1.356882789E-2
1.455468750E4,1.897280461E-2
1.457812500E4,1.064217779E-2
1.460156250E4,1.200426375E-2
1.462500000E4,1.216674968E-2
1.464843750E4,1.388193901E-2
1.467187500E4,5.257614252E-3
1.469531250E4,1.684463441E-3
1.471875000E4,9.896100921E-3
1.474218750E4,1.149126714E-2
1.476562500E4,1.056556210E-2
1.478906250E4,2.042554931E-2
1.481250000E4,8.492730416E-3
1.483593750E4,1.425407744E-2
1.485937500E4,1.348037692E-2
1.488281250E4,1.769344364E-2
1.490625000E4,2.199465314E-2
1.492968750E4,1.140211559E-2
1.495312500E4,1.811532986E-2
1.497656250E4,8.852354450E-3
1.500000000E4,1.942137124E-2
1.502343750E4,1.213427521E-2
1.504687500E4,1.555105506E-2
1.507031250E4,1.994970853E-2
1.509375000E4,8.807138010E-3
1.511718750E4,2.346662865E-2
1.514062500E4,1.191883566E-2
1.516406250E4,5.889437892E-3
1.518750000E4,1.090644492E-2
1.521093750E4,9.655695361E-3
1.523437500E4,1.849909596E-2
1.525781250E4,1.399028427E-2
1.528125000E4,1.076150795E-2
1.530468750E4,8.706045656E-3
1.532812500E4,1.813558789E-2
1.535156250E4,1.096497479E-2
1.537500000E4,1.965734288E-2
1.539843750E4,5.301113647E-3
1.542187500E4,1.577117506E-2
1.544531250E4,1.501129813E-2
1.546875000E4,1.654020161E-2
1.549218750E4,9.005916451E-3
1.551562500E4,1.511497043E-2
1.553906250E4,1.704123204E-2
1.556250000E4,6.479047407E-3
1.558593750E4,1.325998701E-2
1.560937500E4,1.613682407E-2
1.563281250E4,9.525182666E-3
1.565625000E4,2.843814566E-3
1.567968750E4,6.772172644E-3
1.570312500E4,1.771000579E-2
1.572656250E4,1.676205647E-2
1.575000000E4,9.087059007E-3
1.577343750E4,3.484028962E-3
1.579687500E4,1.009926492E-2
1.582031250E4,1.783941286E-2
1.584375000E4,6.537205268E-3
1.586718750E4,3.273819998E-3
1.589062500E4,4.719302491E-3
1.591406250E4,1.638881680E-2
1.593750000E4,9.500477621E-3
1.596093750E4,6.256283127E-3
1.598437500E4,1.161909810E-2
1.600781250E4,4.621828939E-3
1.603125000E4,1.035415077E-2
1.605468750E4,3.167848981E-3
1.607812500E4,1.303146885E-2
1.610156250E4,9.615469822E-3
1.612500000E4,1.132638915E-2
1.614843750E4,1.120507088E-2
1.617187500E4,1.617348314E-2
1.619531250E4,1.646006344E-2
1.621875000E4,8.112042235E-3
1.624218750E4,2.626935065E-3
1.626562500E4,1.215480564E-2
1.628906250E4,1.283799082E-2
1.631250000E4,4.196195174E-3
1.633593750E4,5.948238825E-3
1.635937500E4,1.697527851E-2
1.638281250E4,6.489785171E-3
1.640625000E4,1.385909859E-2
1.642968750E4,5.813694554E-3
1.645312500E4,7.805436930E-3
1.647656250E4,7.497069905E-3
1.650000000E4,1.304825163E-2
1.652343750E4,1.014005504E-2
1.654687500E4,1.349887458E-2
1.657031250E4,1.701245100E-2
1.659375000E4,1.418605939E-2
1.661718750E4,8.480886091E-3
1.664062500E4,1.206368210E-2
1.666406250E4,1.562707463E-2
1.668750000E4,1.441653632E-2
1.671093750E4,1.246525565E-2
1.673437500E4,1.042135340E-2
1.675781250E4,1.334112395E-2
1.678125000E4,1.197488915E-2
1.680468750E4,1.415474635E-2
1.682812500E4,1.409879763E-2
1.685156250E4,1.225878924E-2
1.687500000E4,8.392012870E-3
1.689843750E4,1.309800353E-2
1.692187500E4,3.395918792E-3
1.694531250E4,9.794691762E-3
1.696875000E4,1.248509768E-2
1.699218750E4,4.633353599E-3
1.701562500E4,9.802970258E-3
1.703906250E4,1.157678568E-2
1.706250000E4,4.898444031E-3
1.708593750E4,4.241803939E-3
1.710937500E4,1.017100948E-2
1.713281250E4,1.473504476E-2
1.715625000E4,8.443256800E-3
1.717968750E4,1.514894799E-2
1.720312500E4,1.114357457E-2
1.722656250E4,1.560364813E-2
1.725000000E4,8.111546648E-3
1.727343750E4,7.662360832E-3
1.729687500E4,1.014259928E-2
1.732031250E4,1.043288477E-2
1.734375000E4,1.169877009E-2
1.736718750E4,1.565692708E-2
1.739062500E4,1.317327804E-2
1.741406250E4,1.011549837E-2
1.743750000E4,1.019187370E-2
1.746093750E4,7.976359951E-3
1.748437500E4,1.145980583E-2
1.750781250E4,1.425722773E-2
1.753125000E4,6.155174973E-3
1.755468750E4,7.285707825E-3
1.757812500E4,7.569405819E-3
1.760156250E4,9.146720081E-3
1.762500000E4,1.232041913E-2
1.764843750E4,9.518479855E-3
1.767187500E4,4.054748507E-3
1.769531250E4,1.112608650E-2
1.771875000E4,7.879063321E-3
1.774218750E4,8.916196056E-3
1.776562500E4,5.496761230E-3
1.778906250E4,1.182012313E-2
1.781250000E4,7.362268536E-3
1.783593750E4,8.475839143E-3
1.785937500E4,1.160804768E-2
1.788281250E4,1.342654196E-2
1.790625000E4,9.651513039E-3
1.792968750E4,1.259318823E-2
1.795312500E4,1.198674101E-2
1.797656250E4,8.423887948E-3
1.800000000E4,7.863194902E-3
1.802343750E4,9.015744422E-3
1.804687500E4,9.661946910E-3
1.807031250E4,1.320288529E-2
1.809375000E4,9.843991472E-3
1.811718750E4,8.954288529E-3
1.814062500E4,9.973052806E-3
1.816406250E4,1.306465863E-2
1.818750000E4,1.002327796E-2
1.821093750E4,6.233446555E-3
1.823437500E4,1.100644580E-2
1.825781250E4,1.160845185E-2
1.828125000E4,1.023901035E-2
1.830468750E4,6.025054595E-3
1.832812500E4,1.447959200E-2
1.835156250E4,1.052763075E-2
1.837500000E4,9.030366531E-3
1.839843750E4,8.330170812E-3
1.842187500E4,1.013019421E-2
1.844531250E4,8.492251914E-3
1.846875000E4,6.984539605E-3
1.849218750E4,6.101339963E-3
1.851562500E4,8.511224394E-3
1.853906250E4,1.409190778E-2
1.856250000E4,1.026673591E-2
1.858593750E4,7.639265931E-3
1.860937500E4,1.037086007E-2
1.863281250E4,1.034628731E-2
1.865625000E4,1.138166666E-2
1.867968750E4,1.048508954E-2
1.870312500E4,1.004490329E-2
1.872656250E4,8.970703097E-3
1.875000000E4,9.930719495E-3
