"Time (s)","Peak-Frequency"
2.737813662E1,2.343750000E1
2.742080329E1,2.343750000E1
2.746346996E1,2.343750000E1
2.750613662E1,4.687500000E1
2.754880329E1,2.343750000E1
2.759146996E1,4.687500000E1
2.763413662E1,2.343750000E1
2.767680329E1,4.687500000E1
2.771946996E1,4.687500000E1
2.776213662E1,2.343750000E2
2.780480329E1,4.687500000E1
2.784746996E1,2.343750000E1
2.789013662E1,2.343750000E1
2.793280329E1,2.343750000E1
2.797546996E1,4.687500000E1
2.801813662E1,7.031250000E1
2.806080329E1,2.343750000E1
2.810346996E1,2.343750000E1
2.814613662E1,2.343750000E1
2.818880329E1,4.687500000E1
2.823146996E1,2.343750000E1
2.827413662E1,4.687500000E1
2.831680329E1,1.640625000E2
2.835946996E1,2.343750000E1
2.840213662E1,2.109375000E2
2.844480329E1,4.687500000E1
2.848746996E1,4.687500000E1
2.853013662E1,2.343750000E1
2.857280329E1,2.343750000E1
2.861546996E1,7.031250000E1
2.865813662E1,4.687500000E1
2.870080329E1,2.343750000E1
2.874346996E1,4.687500000E1
2.878613662E1,2.343750000E1
2.882880329E1,2.343750000E1
2.887146996E1,2.343750000E2
2.891413662E1,4.687500000E1
2.895680329E1,7.031250000E1
2.899946996E1,4.687500000E1
2.904213662E1,4.687500000E1
2.908480329E1,7.031250000E1
2.912746996E1,4.687500000E1
2.917013662E1,4.453125000E2
2.921280329E1,1.171875000E2
2.925546996E1,4.687500000E1
2.929813662E1,1.640625000E2
2.934080329E1,7.031250000E1
2.938346996E1,2.343750000E1
2.942613662E1,4.687500000E1
2.946880329E1,7.031250000E1
2.951146996E1,2.343750000E1
2.955413662E1,4.687500000E1
2.959680329E1,4.687500000E1
2.963946996E1,4.687500000E1
2.968213662E1,4.687500000E1
2.972480329E1,4.687500000E1
2.976746996E1,7.031250000E1
2.981013662E1,4.687500000E1
2.985280329E1,2.578125000E2
2.989546996E1,7.265625000E2
2.993813662E1,4.687500000E1
2.998080329E1,7.031250000E1
3.002346996E1,4.687500000E1
3.006613662E1,4.687500000E1
3.010880329E1,7.031250000E1
3.015146996E1,5.390625000E2
3.019413662E1,2.578125000E2
3.023680329E1,2.343750000E1
3.027946996E1,4.687500000E1
3.032213662E1,1.875000000E2
3.036480329E1,4.453125000E2
3.040746996E1,2.343750000E1
3.045013662E1,1.406250000E2
3.049280329E1,1.406250000E2
3.053546996E1,6.328125000E2
3.057813662E1,2.343750000E1
3.062080329E1,3.281250000E2
3.066346996E1,7.500000000E2
3.070613662E1,7.500000000E2
3.074880329E1,7.500000000E2
3.079146996E1,6.328125000E2
3.083413662E1,3.046875000E2
3.087680329E1,3.046875000E2
3.091946996E1,3.281250000E2
3.096213662E1,3.281250000E2
3.100480329E1,3.046875000E2
3.104746996E1,2.343750000E1
3.109013662E1,3.046875000E2
3.113280329E1,3.281250000E2
3.117546996E1,3.515625000E2
3.121813662E1,3.281250000E2
3.126080329E1,2.812500000E2
3.130346996E1,2.343750000E1
3.134613662E1,3.984375000E2
3.138880329E1,3.515625000E2
3.143146996E1,4.687500000E1
3.147413662E1,3.515625000E2
3.151680329E1,3.046875000E2
3.155946996E1,2.343750000E1
3.160213662E1,5.156250000E2
3.164480329E1,5.625000000E2
3.168746996E1,5.859375000E2
3.173013662E1,5.859375000E2
3.177280329E1,5.625000000E2
3.181546996E1,3.984375000E2
3.185813662E1,2.578125000E2
3.190080329E1,4.687500000E1
3.194346996E1,4.687500000E1
3.198613662E1,3.984375000E2
3.202880329E1,3.984375000E2
3.207146996E1,5.859375000E2
3.211413662E1,4.687500000E1
3.215680329E1,2.578125000E2
3.219946996E1,7.031250000E1
3.224213662E1,4.687500000E1
3.228480329E1,4.687500000E1
3.232746996E1,4.687500000E1
3.237013662E1,9.375000000E1
3.241280329E1,4.687500000E1
3.245546996E1,4.687500000E1
3.249813662E1,4.687500000E1
3.254080329E1,4.687500000E1
3.258346996E1,7.031250000E1
3.262613662E1,9.375000000E1
3.266880329E1,7.031250000E1
3.271146996E1,2.812500000E2
3.275413662E1,4.687500000E1
3.279680329E1,2.343750000E1
3.283946996E1,3.046875000E2
3.288213662E1,4.687500000E1
3.292480329E1,2.812500000E2
3.296746996E1,2.343750000E1
3.301013662E1,2.343750000E1
3.305280329E1,2.343750000E2
3.309546996E1,4.687500000E1
3.313813662E1,2.812500000E2
3.318080329E1,4.687500000E1
3.322346996E1,2.343750000E1
3.326613662E1,2.343750000E1
3.330880329E1,2.343750000E1
3.335146996E1,2.343750000E1
3.339413662E1,7.031250000E1
3.343680329E1,2.343750000E1
3.347946996E1,4.687500000E1
3.352213662E1,2.343750000E1
3.356480329E1,4.687500000E1
3.360746996E1,2.343750000E1
3.365013662E1,4.687500000E1
3.369280329E1,4.687500000E1
3.373546996E1,2.343750000E1
3.377813662E1,1.171875000E2
3.382080329E1,7.031250000E1
3.386346996E1,4.687500000E1
3.390613662E1,4.687500000E1
3.394880329E1,2.343750000E1
3.399146996E1,4.687500000E1
3.403413662E1,4.687500000E1
3.407680329E1,4.687500000E1
3.411946996E1,4.687500000E1
3.416213662E1,2.343750000E1
3.420480329E1,4.687500000E1
3.424746996E1,4.687500000E1
3.429013662E1,4.687500000E1
3.433280329E1,4.687500000E1
3.437546996E1,2.343750000E1
3.441813662E1,2.343750000E1
3.446080329E1,2.343750000E1
3.450346996E1,4.687500000E1
3.454613662E1,5.156250000E2
3.458880329E1,2.343750000E1
3.463146996E1,2.343750000E1
3.467413662E1,2.343750000E1
3.471680329E1,2.578125000E2
3.475946996E1,2.343750000E1
3.480213662E1,7.031250000E1
3.484480329E1,4.687500000E1
3.488746996E1,2.343750000E1
3.493013662E1,2.343750000E1
3.497280329E1,2.343750000E1
3.501546996E1,4.687500000E1
3.505813662E1,2.343750000E1
3.510080329E1,2.343750000E1
3.514346996E1,7.031250000E1
3.518613662E1,2.343750000E1
3.522880329E1,2.343750000E1
3.527146996E1,2.343750000E1
3.531413662E1,2.343750000E1
3.535680329E1,2.343750000E1
3.539946996E1,2.343750000E1
3.544213662E1,4.687500000E1
3.548480329E1,7.031250000E1
3.552746996E1,4.687500000E1
3.557013662E1,2.343750000E1
3.561280329E1,7.031250000E1
3.565546996E1,2.343750000E1
3.569813662E1,4.687500000E1
3.574080329E1,2.343750000E1
3.578346996E1,2.343750000E1
3.582613662E1,2.343750000E1
3.586880329E1,2.343750000E1
3.591146996E1,2.343750000E1
3.595413662E1,7.031250000E1
3.599680329E1,4.687500000E1
3.603946996E1,2.343750000E1
3.608213662E1,2.343750000E1
3.612480329E1,2.343750000E1
3.616746996E1,4.687500000E1
3.621013662E1,2.578125000E2
3.625280329E1,2.343750000E1
3.629546996E1,2.343750000E1
3.633813662E1,2.343750000E1
3.638080329E1,4.687500000E1
3.642346996E1,2.343750000E1
3.646613662E1,2.343750000E1
3.650880329E1,7.031250000E1
3.655146996E1,4.687500000E1
3.659413662E1,4.687500000E1
3.663680329E1,2.343750000E1
3.667946996E1,4.687500000E1
3.672213662E1,2.343750000E1
3.676480329E1,1.171875000E2
3.680746996E1,2.343750000E1
3.685013662E1,2.343750000E1
3.689280329E1,2.343750000E1
3.693546996E1,2.343750000E1
3.697813662E1,4.687500000E1
3.702080329E1,2.343750000E1
3.706918587E1,7.031250000E1
