"Time (s)","Recording (a.u.)"
1.258333333E-2,3.594032302E-2
1.260416667E-2,3.521033376E-2
1.262500000E-2,3.443357348E-2
1.264583333E-2,3.346146271E-2
1.266666667E-2,3.255623579E-2
1.268750000E-2,3.164898232E-2
1.270833333E-2,3.070139140E-2
1.272916667E-2,2.992294356E-2
1.275000000E-2,2.921968326E-2
1.277083333E-2,2.846283838E-2
1.279166667E-2,2.765361592E-2
1.281250000E-2,2.689739317E-2
1.283333333E-2,2.630346268E-2
1.285416667E-2,2.602054365E-2
1.287500000E-2,2.609212697E-2
1.289583333E-2,2.628239989E-2
1.291666667E-2,2.655597590E-2
1.293750000E-2,2.712113038E-2
1.295833333E-2,2.774697542E-2
1.297916667E-2,2.824850939E-2
1.300000000E-2,2.880086377E-2
1.302083333E-2,2.917842753E-2
1.304166667E-2,2.925863862E-2
1.306250000E-2,2.912855521E-2
1.308333333E-2,2.873551846E-2
1.310416667E-2,2.826151252E-2
1.312500000E-2,2.779974975E-2
1.314583333E-2,2.727001533E-2
1.316666667E-2,2.640280686E-2
1.318750000E-2,2.479651757E-2
1.320833333E-2,2.285430767E-2
1.322916667E-2,2.133489028E-2
1.325000000E-2,2.007594332E-2
1.327083333E-2,1.884921640E-2
1.329166667E-2,1.775641181E-2
1.331250000E-2,1.630624570E-2
1.333333333E-2,1.443110127E-2
1.335416667E-2,1.269226894E-2
1.337500000E-2,1.118031330E-2
1.339583333E-2,9.933434427E-3
1.341666667E-2,8.888931945E-3
1.343750000E-2,7.803575136E-3
1.345833333E-2,6.704598200E-3
1.347916667E-2,5.661099218E-3
1.350000000E-2,4.739635158E-3
1.352083333E-2,3.939568531E-3
1.354166667E-2,3.221446648E-3
1.356250000E-2,2.617112361E-3
1.358333333E-2,2.177085727E-3
1.360416667E-2,1.972204540E-3
1.362500000E-2,1.689980039E-3
1.364583333E-2,1.129144803E-3
1.366666667E-2,4.502477241E-4
1.368750000E-2,-3.337827511E-4
1.370833333E-2,-1.090577105E-3
1.372916667E-2,-1.568513690E-3
1.375000000E-2,-1.622547512E-3
1.377083333E-2,-1.392738661E-3
1.379166667E-2,-1.095343381E-3
1.381250000E-2,-8.856703062E-4
1.383333333E-2,-7.943824166E-4
1.385416667E-2,-5.513501237E-4
1.387500000E-2,-1.959707151E-4
1.389583333E-2,2.219302842E-4
1.391666667E-2,8.339714259E-4
1.393750000E-2,1.533764182E-3
1.395833333E-2,2.272720449E-3
1.397916667E-2,2.794918604E-3
1.400000000E-2,3.048264654E-3
1.402083333E-2,3.351853462E-3
1.404166667E-2,3.722651862E-3
1.406250000E-2,4.056367092E-3
1.408333333E-2,4.308291245E-3
1.410416667E-2,4.523148760E-3
1.412500000E-2,4.565548152E-3
1.414583333E-2,4.398794845E-3
1.416666667E-2,4.335409962E-3
1.418750000E-2,4.252746236E-3
1.420833333E-2,4.083434120E-3
1.422916667E-2,4.059161991E-3
1.425000000E-2,3.807648085E-3
1.427083333E-2,2.923703752E-3
1.429166667E-2,1.713792211E-3
1.431250000E-2,5.056766095E-4
1.433333333E-2,-6.978571764E-4
1.435416667E-2,-1.788874390E-3
1.437500000E-2,-2.890215721E-3
1.439583333E-2,-4.383065738E-3
1.441666667E-2,-6.002959795E-3
1.443750000E-2,-7.457671687E-3
1.445833333E-2,-8.939377964E-3
1.447916667E-2,-1.026593801E-2
1.450000000E-2,-1.125194691E-2
1.452083333E-2,-1.220378559E-2
1.454166667E-2,-1.321615372E-2
1.456250000E-2,-1.411608700E-2
1.458333333E-2,-1.508298423E-2
1.460416667E-2,-1.616415568E-2
1.462500000E-2,-1.703921705E-2
1.464583333E-2,-1.777869835E-2
1.466666667E-2,-1.862279512E-2
1.468750000E-2,-1.921002567E-2
1.470833333E-2,-1.931549236E-2
1.472916667E-2,-1.957016438E-2
1.475000000E-2,-1.985943317E-2
1.477083333E-2,-1.983079500E-2
1.479166667E-2,-2.004381455E-2
1.481250000E-2,-2.025737241E-2
1.483333333E-2,-2.003698796E-2
1.485416667E-2,-1.978056319E-2
1.487500000E-2,-1.956527494E-2
1.489583333E-2,-1.916716434E-2
1.491666667E-2,-1.892173290E-2
1.493750000E-2,-1.883667149E-2
1.495833333E-2,-1.859010383E-2
1.497916667E-2,-1.868347637E-2
1.500000000E-2,-1.897292212E-2
1.502083333E-2,-1.889324374E-2
1.504166667E-2,-1.869041286E-2
1.506250000E-2,-1.857042126E-2
1.508333333E-2,-1.852934249E-2
1.510416667E-2,-1.851988956E-2
1.512500000E-2,-1.861015335E-2
1.514583333E-2,-1.871241257E-2
1.516666667E-2,-1.871191710E-2
1.518750000E-2,-1.881421171E-2
1.520833333E-2,-1.920480654E-2
1.522916667E-2,-1.972823218E-2
1.525000000E-2,-2.029518038E-2
1.527083333E-2,-2.100657672E-2
1.529166667E-2,-2.140329406E-2
1.531250000E-2,-2.163563669E-2
1.533333333E-2,-2.215375751E-2
1.535416667E-2,-2.264134213E-2
1.537500000E-2,-2.313577756E-2
1.539583333E-2,-2.358497493E-2
1.541666667E-2,-2.384360880E-2
1.543750000E-2,-2.380526625E-2
1.545833333E-2,-2.342275716E-2
1.547916667E-2,-2.302320674E-2
1.550000000E-2,-2.252545767E-2
1.552083333E-2,-2.203684300E-2
1.554166667E-2,-2.167500556E-2
1.556250000E-2,-2.121913806E-2
1.558333333E-2,-2.098757029E-2
1.560416667E-2,-2.095944062E-2
1.562500000E-2,-2.083311230E-2
