"Frequency (Hz)","Absolute Amplitude (a.u.)"
1.272656250E4,3.251527577E-2
1.275000000E4,2.988136790E-2
1.277343750E4,2.622012504E-2
1.279687500E4,2.801174566E-2
1.282031250E4,2.603531456E-2
1.284375000E4,2.735704129E-2
1.286718750E4,2.738354651E-2
1.289062500E4,2.661031383E-2
1.291406250E4,2.516215436E-2
1.293750000E4,9.179111376E-3
1.296093750E4,3.648660309E-2
1.298437500E4,2.462804456E-2
1.300781250E4,2.298440929E-2
1.303125000E4,3.123348905E-2
1.305468750E4,1.924546011E-2
1.307812500E4,1.148250889E-2
1.310156250E4,3.526638604E-2
1.312500000E4,2.565272887E-2
1.314843750E4,2.599462980E-2
1.317187500E4,2.072191833E-2
1.319531250E4,2.377875788E-2
1.321875000E4,3.450647678E-2
1.324218750E4,2.653068054E-2
1.326562500E4,3.332412310E-2
1.328906250E4,3.019744387E-2
1.331250000E4,3.204016753E-2
1.333593750E4,1.887353359E-2
1.335937500E4,2.604850649E-2
1.338281250E4,2.936338482E-2
1.340625000E4,3.445506280E-2
1.342968750E4,2.272067134E-2
1.345312500E4,1.771344434E-2
1.347656250E4,1.471407976E-2
1.350000000E4,4.643411418E-2
1.352343750E4,2.170118162E-2
1.354687500E4,3.264742390E-2
1.357031250E4,3.921425429E-2
1.359375000E4,2.018877262E-2
1.361718750E4,1.908892803E-2
1.364062500E4,3.317929191E-2
1.366406250E4,3.559308725E-2
1.368750000E4,3.215646655E-2
1.371093750E4,3.391928848E-2
1.373437500E4,1.432539146E-2
1.375781250E4,2.968976221E-2
1.378125000E4,2.746760006E-2
1.380468750E4,2.594645912E-2
1.382812500E4,2.331028295E-2
1.385156250E4,3.548111462E-2
1.387500000E4,2.971591191E-2
1.389843750E4,4.015691303E-2
1.392187500E4,1.242287568E-2
1.394531250E4,3.184185533E-2
1.396875000E4,3.235970439E-2
1.399218750E4,2.470077871E-2
1.401562500E4,3.623561527E-2
1.403906250E4,2.594445818E-2
1.406250000E4,2.991606006E-2
1.408593750E4,2.019575889E-2
1.410937500E4,1.748472293E-2
1.413281250E4,2.903872541E-2
1.415625000E4,2.249916145E-2
1.417968750E4,2.720268871E-2
1.420312500E4,2.189595588E-2
1.422656250E4,2.632152954E-2
1.425000000E4,2.252721490E-2
1.427343750E4,1.767412270E-2
1.429687500E4,2.136192360E-2
1.432031250E4,2.626722150E-2
1.434375000E4,1.811053706E-2
1.436718750E4,2.538852287E-2
1.439062500E4,3.662684666E-2
1.441406250E4,2.602338855E-2
1.443750000E4,1.980249015E-2
1.446093750E4,3.479988710E-2
1.448437500E4,2.600483651E-2
1.450781250E4,2.723796522E-2
1.453125000E4,2.683347354E-2
1.455468750E4,3.768760351E-2
1.457812500E4,3.320763921E-2
1.460156250E4,3.217986857E-2
1.462500000E4,1.418774356E-2
1.464843750E4,2.351435338E-2
1.467187500E4,4.081813978E-2
1.469531250E4,2.209974799E-2
1.471875000E4,2.420769909E-2
1.474218750E4,2.447779990E-2
1.476562500E4,2.688711122E-2
1.478906250E4,2.416901880E-2
1.481250000E4,1.011525666E-2
1.483593750E4,2.246212204E-2
1.485937500E4,3.544104966E-2
1.488281250E4,3.475100540E-2
1.490625000E4,2.033170572E-2
1.492968750E4,4.140711246E-2
1.495312500E4,2.999792231E-2
1.497656250E4,2.259291186E-2
1.500000000E4,1.961588752E-2
1.502343750E4,3.574982017E-2
1.504687500E4,2.546556688E-2
1.507031250E4,2.702502552E-2
1.509375000E4,2.011196394E-2
1.511718750E4,2.122354160E-2
1.514062500E4,8.776445964E-3
1.516406250E4,2.262027361E-2
1.518750000E4,2.306712600E-2
1.521093750E4,2.806629839E-2
1.523437500E4,1.537294128E-2
1.525781250E4,1.955167663E-2
1.528125000E4,2.590249933E-2
1.530468750E4,2.115282191E-2
1.532812500E4,2.238983096E-2
1.535156250E4,3.330425579E-2
1.537500000E4,3.187124199E-2
1.539843750E4,2.796080978E-2
1.542187500E4,2.045008987E-2
1.544531250E4,2.739307874E-2
1.546875000E4,2.850119900E-2
1.549218750E4,3.702861556E-2
1.551562500E4,2.301767405E-2
1.553906250E4,2.644727222E-2
1.556250000E4,3.192454585E-2
1.558593750E4,1.904108587E-2
1.560937500E4,2.934534241E-2
1.563281250E4,1.713871489E-2
1.565625000E4,3.234254556E-2
1.567968750E4,2.120757050E-2
1.570312500E4,3.051222538E-2
1.572656250E4,2.499919067E-2
1.575000000E4,3.271081470E-2
1.577343750E4,2.248013048E-2
1.579687500E4,2.729622524E-2
1.582031250E4,2.040975319E-2
1.584375000E4,2.874828594E-2
1.586718750E4,2.400744736E-2
1.589062500E4,2.562711005E-2
1.591406250E4,3.577500390E-2
1.593750000E4,2.481654034E-2
1.596093750E4,2.411504168E-2
1.598437500E4,2.652836245E-2
1.600781250E4,1.493717151E-2
1.603125000E4,3.141321703E-2
1.605468750E4,2.528804835E-2
1.607812500E4,2.260044866E-2
1.610156250E4,3.384335484E-2
1.612500000E4,3.168323510E-2
1.614843750E4,3.296649747E-2
1.617187500E4,2.210738948E-2
1.619531250E4,3.810788307E-2
1.621875000E4,2.063788167E-2
1.624218750E4,1.666429361E-2
1.626562500E4,2.099451465E-2
1.628906250E4,1.258915460E-2
1.631250000E4,4.070895086E-2
1.633593750E4,1.844787534E-2
1.635937500E4,2.698335042E-2
1.638281250E4,2.352329462E-2
1.640625000E4,2.955916053E-2
1.642968750E4,3.458270155E-2
1.645312500E4,2.763504500E-2
1.647656250E4,3.224414308E-2
1.650000000E4,2.652241102E-2
1.652343750E4,1.216975847E-2
1.654687500E4,2.882613237E-2
1.657031250E4,2.663093416E-2
1.659375000E4,3.193761266E-2
1.661718750E4,2.879070286E-2
1.664062500E4,2.613032580E-2
1.666406250E4,2.524122710E-2
1.668750000E4,3.409902782E-2
1.671093750E4,1.850911879E-2
1.673437500E4,2.503521767E-2
1.675781250E4,2.915692066E-2
1.678125000E4,2.575289081E-2
1.680468750E4,1.961134497E-2
1.682812500E4,3.065776513E-2
1.685156250E4,2.814559196E-2
1.687500000E4,2.375800248E-2
1.689843750E4,1.714922874E-2
1.692187500E4,1.877400075E-2
1.694531250E4,1.600396006E-2
1.696875000E4,2.518232434E-2
1.699218750E4,1.659474039E-2
1.701562500E4,2.264556590E-2
1.703906250E4,2.780022173E-2
1.706250000E4,2.549292706E-2
1.708593750E4,2.482138764E-2
1.710937500E4,2.091583499E-2
1.713281250E4,1.748010946E-2
1.715625000E4,2.611981912E-2
1.717968750E4,1.250458591E-2
1.720312500E4,2.873984612E-2
1.722656250E4,2.404159504E-2
1.725000000E4,1.947303187E-2
1.727343750E4,2.122534761E-2
1.729687500E4,1.812675163E-2
1.732031250E4,1.972481492E-2
1.734375000E4,2.389366816E-2
1.736718750E4,3.346619976E-2
1.739062500E4,2.109657746E-2
1.741406250E4,2.997599585E-2
1.743750000E4,1.371073927E-2
1.746093750E4,2.272040521E-2
1.748437500E4,2.525956291E-2
1.750781250E4,2.165142746E-2
1.753125000E4,1.665140118E-2
1.755468750E4,2.069106363E-2
1.757812500E4,2.267319951E-2
1.760156250E4,2.914699040E-2
1.762500000E4,2.005381016E-2
1.764843750E4,3.147136702E-2
1.767187500E4,2.383917535E-2
1.769531250E4,2.198870829E-2
1.771875000E4,2.287147881E-2
1.774218750E4,2.029971103E-2
1.776562500E4,2.667647057E-2
1.778906250E4,2.879321596E-2
1.781250000E4,2.539611832E-2
1.783593750E4,2.306909716E-2
1.785937500E4,1.385563122E-2
1.788281250E4,2.236747006E-2
1.790625000E4,1.421017231E-2
1.792968750E4,1.834253673E-2
1.795312500E4,2.111470086E-2
1.797656250E4,2.695835887E-2
1.800000000E4,2.922300690E-2
1.802343750E4,1.894693822E-2
1.804687500E4,1.505385593E-2
1.807031250E4,1.926149136E-2
1.809375000E4,2.736063287E-2
1.811718750E4,1.882935543E-2
1.814062500E4,2.037370496E-2
1.816406250E4,1.608595640E-2
1.818750000E4,2.388881977E-2
1.821093750E4,1.985207993E-2
1.823437500E4,1.918756497E-2
1.825781250E4,2.497066519E-2
1.828125000E4,3.208238819E-2
1.830468750E4,2.637015530E-2
1.832812500E4,2.106795545E-2
1.835156250E4,1.809610897E-2
1.837500000E4,2.881547671E-2
1.839843750E4,2.006396728E-2
1.842187500E4,2.416525145E-2
1.844531250E4,3.015186260E-2
1.846875000E4,3.155711825E-2
1.849218750E4,2.787633519E-2
1.851562500E4,2.026657847E-2
1.853906250E4,2.051018132E-2
1.856250000E4,1.626786734E-2
1.858593750E4,1.504550733E-2
1.860937500E4,2.326633007E-2
1.863281250E4,2.121629369E-2
1.865625000E4,2.131179847E-2
1.867968750E4,2.585749827E-2
1.870312500E4,2.547606396E-2
1.872656250E4,2.042124607E-2
1.875000000E4,2.696108172E-2
1.877343750E4,1.599933303E-2
1.879687500E4,2.153947685E-2
1.882031250E4,2.552329526E-2
1.884375000E4,1.632175937E-2
1.886718750E4,1.953891871E-2
1.889062500E4,1.843308207E-2
1.891406250E4,1.758657924E-2
1.893750000E4,1.896970836E-2
1.896093750E4,1.888498146E-2
1.898437500E4,3.139067215E-2
1.900781250E4,2.467806822E-2
1.903125000E4,1.920072790E-2
1.905468750E4,2.392161490E-2
1.907812500E4,2.791654649E-2
1.910156250E4,2.863207113E-2
1.912500000E4,2.617366538E-2
1.914843750E4,1.576036891E-2
1.917187500E4,2.255230339E-2
