"Time (s)","Recording (a.u.)"
1.456250000E-2,7.234999444E-3
1.458333333E-2,7.348196581E-3
1.460416667E-2,7.165891118E-3
1.462500000E-2,6.333416793E-3
1.464583333E-2,6.125033367E-3
1.466666667E-2,6.204420701E-3
1.468750000E-2,6.165735424E-3
1.470833333E-2,6.015524734E-3
1.472916667E-2,5.955882370E-3
1.475000000E-2,5.938277580E-3
1.477083333E-2,5.549097899E-3
1.479166667E-2,5.548932124E-3
1.481250000E-2,5.770358257E-3
1.483333333E-2,5.876754876E-3
1.485416667E-2,6.214771420E-3
1.487500000E-2,6.402906962E-3
1.489583333E-2,6.409981288E-3
1.491666667E-2,6.188554689E-3
1.493750000E-2,5.996200256E-3
1.495833333E-2,5.686957389E-3
1.497916667E-2,5.480258726E-3
1.500000000E-2,5.702621303E-3
1.502083333E-2,5.218897015E-3
1.504166667E-2,4.843979143E-3
1.506250000E-2,4.575843923E-3
1.508333333E-2,4.640269559E-3
1.510416667E-2,5.554640200E-3
1.512500000E-2,5.008985288E-3
1.514583333E-2,4.155482166E-3
1.516666667E-2,4.302853718E-3
1.518750000E-2,4.272588994E-3
1.520833333E-2,3.871728433E-3
1.522916667E-2,3.411676502E-3
1.525000000E-2,3.581260797E-3
1.527083333E-2,3.477948019E-3
1.529166667E-2,2.417674055E-3
1.531250000E-2,1.885694801E-3
1.533333333E-2,2.429375425E-3
1.535416667E-2,3.134278348E-3
1.537500000E-2,3.616856877E-3
1.539583333E-2,3.856940195E-3
1.541666667E-2,3.961695824E-3
1.543750000E-2,3.923946060E-3
1.545833333E-2,3.710747929E-3
1.547916667E-2,3.636345034E-3
1.550000000E-2,3.803077852E-3
1.552083333E-2,3.912528045E-3
1.554166667E-2,4.187785089E-3
1.556250000E-2,5.217276979E-3
1.558333333E-2,5.354688037E-3
1.560416667E-2,4.647981375E-3
1.562500000E-2,4.252564162E-3
1.564583333E-2,3.575718030E-3
1.566666667E-2,4.080418963E-3
1.568750000E-2,4.749240819E-3
