"Time (s)","Recording (a.u.)"
1.035416667E-2,5.408539437E-3
1.037500000E-2,7.126429118E-3
1.039583333E-2,7.999720052E-3
1.041666667E-2,6.408451591E-3
1.043750000E-2,5.116560962E-3
1.045833333E-2,4.943263251E-3
1.047916667E-2,5.367314443E-3
1.050000000E-2,5.862518679E-3
1.052083333E-2,6.386489142E-3
1.054166667E-2,6.868590601E-3
1.056250000E-2,6.363072433E-3
1.058333333E-2,6.393090822E-3
1.060416667E-2,6.463193335E-3
1.062500000E-2,5.836612545E-3
1.064583333E-2,5.815683398E-3
1.066666667E-2,5.938241258E-3
1.068750000E-2,5.902892444E-3
1.070833333E-2,5.567261949E-3
1.072916667E-2,5.380867049E-3
1.075000000E-2,5.764413625E-3
1.077083333E-2,6.245231722E-3
1.079166667E-2,6.627564318E-3
1.081250000E-2,5.958222318E-3
1.083333333E-2,4.665317014E-3
1.085416667E-2,3.810982220E-3
1.087500000E-2,3.307024017E-3
1.089583333E-2,3.607748076E-3
1.091666667E-2,3.883785568E-3
1.093750000E-2,4.021776840E-3
1.095833333E-2,4.569066688E-3
1.097916667E-2,4.820297007E-3
1.100000000E-2,5.098501220E-3
1.102083333E-2,5.546485074E-3
1.104166667E-2,5.732567981E-3
1.106250000E-2,5.041866098E-3
1.108333333E-2,3.897253424E-3
1.110416667E-2,2.485490171E-3
1.112500000E-2,4.495169269E-4
1.114583333E-2,-5.283384235E-4
1.116666667E-2,-5.287082749E-4
1.118750000E-2,-6.034206017E-4
1.120833333E-2,-3.057314898E-4
1.122916667E-2,-2.057979436E-4
1.125000000E-2,-7.822671323E-4
1.127083333E-2,-1.831715927E-3
1.129166667E-2,-2.487023361E-3
1.131250000E-2,-2.342395717E-3
1.133333333E-2,-1.975366380E-3
1.135416667E-2,-5.644467310E-4
1.137500000E-2,7.038748590E-4
1.139583333E-2,2.768299892E-4
1.141666667E-2,-4.814282875E-4
1.143750000E-2,-1.157857245E-3
1.145833333E-2,-2.034368925E-3
1.147916667E-2,-3.165209433E-3
1.150000000E-2,-4.040051252E-3
1.152083333E-2,-4.375752062E-3
1.154166667E-2,-4.112293478E-3
1.156250000E-2,-3.353046253E-3
1.158333333E-2,-2.943383995E-3
1.160416667E-2,-1.726463786E-3
1.162500000E-2,1.395285362E-4
1.164583333E-2,8.091721684E-4
1.166666667E-2,7.721037837E-4
1.168750000E-2,8.589997306E-4
1.170833333E-2,6.380261621E-4
1.172916667E-2,-1.932306623E-4
1.175000000E-2,-3.063270706E-4
1.177083333E-2,-3.284362610E-4
1.179166667E-2,-7.373191183E-4
1.181250000E-2,6.413477240E-5
1.183333333E-2,8.328395197E-4
1.185416667E-2,8.656316786E-4
1.187500000E-2,5.895090289E-4
1.189583333E-2,-3.077012079E-4
1.191666667E-2,-1.546878950E-3
1.193750000E-2,-2.657681936E-3
1.195833333E-2,-3.412488848E-3
1.197916667E-2,-3.807943780E-3
1.200000000E-2,-2.866002731E-3
1.202083333E-2,-1.526415348E-3
1.204166667E-2,-1.347549725E-3
1.206250000E-2,-1.653209445E-3
1.208333333E-2,-2.629112918E-3
1.210416667E-2,-3.832537914E-3
1.212500000E-2,-4.415618721E-3
1.214583333E-2,-5.196003243E-3
1.216666667E-2,-6.521553732E-3
1.218750000E-2,-6.939498708E-3
1.220833333E-2,-5.974666215E-3
1.222916667E-2,-5.437928718E-3
1.225000000E-2,-5.059993826E-3
1.227083333E-2,-4.423540086E-3
1.229166667E-2,-4.588762764E-3
1.231250000E-2,-4.159278702E-3
1.233333333E-2,-3.340705298E-3
1.235416667E-2,-4.005286843E-3
1.237500000E-2,-5.081336945E-3
1.239583333E-2,-5.729823373E-3
1.241666667E-2,-7.397893816E-3
1.243750000E-2,-9.429234080E-3
1.245833333E-2,-9.513601661E-3
1.247916667E-2,-9.538578801E-3
1.250000000E-2,-1.010041870E-2
1.252083333E-2,-9.450748563E-3
1.254166667E-2,-8.965810761E-3
1.256250000E-2,-8.438553661E-3
1.258333333E-2,-7.229562383E-3
1.260416667E-2,-6.345527247E-3
1.262500000E-2,-5.916164722E-3
1.264583333E-2,-5.251157098E-3
1.266666667E-2,-4.544130061E-3
1.268750000E-2,-4.481007811E-3
1.270833333E-2,-4.042293411E-3
1.272916667E-2,-3.600340104E-3
1.275000000E-2,-3.214576980E-3
1.277083333E-2,-2.916347468E-3
1.279166667E-2,-3.582388628E-3
1.281250000E-2,-3.650202882E-3
1.283333333E-2,-3.579768352E-3
1.285416667E-2,-4.027472809E-3
1.287500000E-2,-4.027200397E-3
1.289583333E-2,-4.288715776E-3
1.291666667E-2,-4.939887673E-3
1.293750000E-2,-4.750672728E-3
1.295833333E-2,-4.531897139E-3
1.297916667E-2,-4.940748215E-3
1.300000000E-2,-4.532839637E-3
1.302083333E-2,-4.245496355E-3
1.304166667E-2,-4.146268591E-3
1.306250000E-2,-3.695225343E-3
1.308333333E-2,-4.040419124E-3
1.310416667E-2,-4.214053974E-3
1.312500000E-2,-3.406020347E-3
1.314583333E-2,-2.240438713E-3
1.316666667E-2,-7.530036964E-4
1.318750000E-2,8.526950842E-4
1.320833333E-2,1.251302310E-3
1.322916667E-2,7.147599244E-4
1.325000000E-2,-4.465605598E-4
1.327083333E-2,-2.142357873E-3
1.329166667E-2,-2.958366647E-3
1.331250000E-2,-3.676983528E-3
1.333333333E-2,-3.831915557E-3
1.335416667E-2,-3.153022379E-3
1.337500000E-2,-3.123402363E-3
1.339583333E-2,-2.815378830E-3
1.341666667E-2,-2.508902457E-3
1.343750000E-2,-2.000799403E-3
1.345833333E-2,-4.290837096E-4
1.347916667E-2,3.871356021E-4
1.350000000E-2,3.863860620E-4
1.352083333E-2,7.118076901E-4
1.354166667E-2,7.749814540E-4
1.356250000E-2,4.776199348E-4
1.358333333E-2,4.852572456E-4
1.360416667E-2,2.705644292E-4
1.362500000E-2,-5.437027430E-4
1.364583333E-2,-1.174698467E-3
1.366666667E-2,-1.954336651E-3
1.368750000E-2,-2.657433972E-3
1.370833333E-2,-2.457913710E-3
1.372916667E-2,-2.681508660E-3
1.375000000E-2,-3.562993370E-3
1.377083333E-2,-4.168830812E-3
1.379166667E-2,-4.736577161E-3
1.381250000E-2,-4.882874899E-3
1.383333333E-2,-4.825914279E-3
1.385416667E-2,-5.145771429E-3
1.387500000E-2,-5.656410940E-3
1.389583333E-2,-7.016330026E-3
1.391666667E-2,-8.461700752E-3
1.393750000E-2,-9.312872775E-3
1.395833333E-2,-1.031138655E-2
1.397916667E-2,-1.111707278E-2
1.400000000E-2,-1.170612033E-2
1.402083333E-2,-1.188754570E-2
1.404166667E-2,-1.151073072E-2
1.406250000E-2,-1.057142951E-2
1.408333333E-2,-9.603455663E-3
1.410416667E-2,-9.261480533E-3
1.412500000E-2,-8.675917052E-3
1.414583333E-2,-8.277090266E-3
1.416666667E-2,-8.740413934E-3
1.418750000E-2,-9.658165276E-3
1.420833333E-2,-1.071105991E-2
1.422916667E-2,-1.129004546E-2
1.425000000E-2,-1.132168528E-2
1.427083333E-2,-1.191795059E-2
1.429166667E-2,-1.257228665E-2
1.431250000E-2,-1.206875965E-2
1.433333333E-2,-1.192557253E-2
1.435416667E-2,-1.242335699E-2
1.437500000E-2,-1.243713871E-2
1.439583333E-2,-1.226180233E-2
1.441666667E-2,-1.278890949E-2
1.443750000E-2,-1.367594488E-2
1.445833333E-2,-1.371327043E-2
1.447916667E-2,-1.359611563E-2
1.450000000E-2,-1.371189300E-2
1.452083333E-2,-1.398993097E-2
1.454166667E-2,-1.456619147E-2
1.456250000E-2,-1.467968524E-2
1.458333333E-2,-1.422668900E-2
1.460416667E-2,-1.347846072E-2
1.462500000E-2,-1.271468587E-2
1.464583333E-2,-1.247847266E-2
