"Frequency (Hz)","Absolute Amplitude (a.u.)"
7.898437500E3,3.793858548E-2
7.921875000E3,1.956663185E-2
7.945312500E3,3.924433314E-2
7.968750000E3,2.269022709E-2
7.992187500E3,7.874018773E-2
8.015625000E3,2.201918767E-2
8.039062500E3,4.374319454E-2
8.062500000E3,2.452035499E-2
8.085937500E3,1.892943051E-2
8.109375000E3,4.980895277E-2
8.132812500E3,3.052083875E-2
8.156250000E3,3.318101706E-2
8.179687500E3,3.462205789E-2
8.203125000E3,3.177305996E-2
8.226562500E3,6.908452164E-2
8.250000000E3,5.125438464E-2
8.273437500E3,5.074900011E-2
8.296875000E3,4.332162561E-2
8.320312500E3,1.291130105E-2
8.343750000E3,2.681497463E-2
8.367187500E3,1.498988084E-2
8.390625000E3,4.522366402E-2
8.414062500E3,4.301483628E-2
8.437500000E3,1.723254860E-2
8.460937500E3,1.861737253E-3
8.484375000E3,2.514660276E-2
8.507812500E3,7.506483256E-2
8.531250000E3,5.569213241E-2
8.554687500E3,5.979200346E-2
8.578125000E3,4.548419531E-2
8.601562500E3,2.792072773E-2
8.625000000E3,1.187727163E-2
8.648437500E3,2.924912141E-2
8.671875000E3,5.131759964E-2
8.695312500E3,4.118255312E-2
8.718750000E3,1.419647124E-2
8.742187500E3,2.698077791E-2
8.765625000E3,1.109726541E-2
8.789062500E3,2.214384770E-2
8.812500000E3,1.828510949E-2
8.835937500E3,2.384281607E-2
8.859375000E3,2.903951496E-2
8.882812500E3,2.221165617E-2
8.906250000E3,1.974087986E-2
8.929687500E3,4.720693750E-2
8.953125000E3,1.259942222E-2
8.976562500E3,2.003012723E-2
9.000000000E3,4.549787683E-2
9.023437500E3,9.451681014E-3
9.046875000E3,4.747762547E-2
9.070312500E3,2.881010074E-2
9.093750000E3,1.431449496E-2
9.117187500E3,1.481263932E-2
9.140625000E3,2.410607396E-2
9.164062500E3,2.839706196E-2
9.187500000E3,1.208245112E-2
9.210937500E3,2.955602674E-2
9.234375000E3,3.330358812E-2
9.257812500E3,3.028989918E-2
9.281250000E3,2.248050453E-2
9.304687500E3,2.594136666E-2
9.328125000E3,2.791838877E-2
9.351562500E3,8.148634324E-3
9.375000000E3,1.542058320E-2
9.398437500E3,9.244466164E-3
9.421875000E3,2.505642170E-2
9.445312500E3,2.302922398E-2
9.468750000E3,1.514541176E-2
9.492187500E3,7.364618351E-3
9.515625000E3,2.765120030E-2
9.539062500E3,3.587199336E-2
9.562500000E3,4.716593425E-2
9.585937500E3,2.398424798E-2
9.609375000E3,2.575943461E-2
9.632812500E3,2.622944904E-2
9.656250000E3,9.766995315E-3
9.679687500E3,3.779384347E-2
9.703125000E3,3.185339435E-2
9.726562500E3,1.823139272E-2
9.750000000E3,6.993929620E-3
9.773437500E3,1.999370450E-2
9.796875000E3,1.029100411E-2
9.820312500E3,2.536270514E-2
9.843750000E3,7.362179306E-3
9.867187500E3,1.346472768E-2
9.890625000E3,3.254559060E-2
9.914062500E3,1.855404159E-2
9.937500000E3,3.813392008E-2
9.960937500E3,2.057695476E-3
9.984375000E3,2.188290079E-2
1.000781250E4,1.775913480E-2
1.003125000E4,2.863480309E-2
1.005468750E4,3.766673764E-2
