"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.367442458E0,8.250967635E-2,-6.052462972E-2,-1.600523257E-1,1.899679564E-1
1.377370458E0,5.218109152E-2,2.170692016E-2,-9.672639549E-2,1.120270158E-1
1.387298458E0,-2.244784461E-2,6.607139898E-2,7.825971901E-2,1.048518913E-1
1.397227458E0,3.810219308E-3,4.329547989E-2,-2.472261250E-2,5.000223914E-2
1.407155458E0,-5.297597481E-2,5.806129826E-3,2.525412440E-3,5.335300140E-2
1.417084458E0,-3.203538707E-2,2.891667411E-3,4.115211904E-2,5.223145285E-2
1.427012458E0,3.846687661E-2,-6.290058184E-2,9.729123652E-2,1.220728000E-1
1.436941458E0,1.917379671E-2,-5.840169758E-2,1.781354249E-2,6.399777383E-2
1.446869458E0,2.124904663E-2,-8.794903044E-2,-6.616241455E-2,1.120893351E-1
1.456798458E0,-1.931671545E-2,-1.151464039E-1,1.451629758E-2,1.176543782E-1
1.466726458E0,-7.334116912E-3,-1.183910056E-1,1.181956172E-2,1.192053753E-1
1.476655458E0,-9.831741373E-2,-6.689370937E-2,-1.607721180E-1,1.999718883E-1
1.486583458E0,-1.700488170E-2,-6.195262028E-2,1.571146846E-2,6.613730719E-2
1.496512458E0,8.109323404E-2,-1.160207453E-1,-1.483473694E-1,2.050460143E-1
1.506440458E0,-9.930889137E-2,-4.615048343E-2,1.791768140E-1,2.099915562E-1
1.516368458E0,2.154128864E-2,-4.287800697E-2,-5.927439451E-2,7.626273299E-2
1.526297458E0,3.874988185E-2,-1.829696104E-2,-1.094119298E-1,1.175044787E-1
1.536225458E0,-2.281787287E-2,5.441756928E-3,1.149843264E-1,1.173527305E-1
1.546154458E0,1.994921059E-2,-2.600427649E-2,-5.295589328E-2,6.227776515E-2
1.556082458E0,5.575850029E-3,-6.295926413E-2,-2.016003013E-2,6.634294129E-2
1.566011458E0,-3.840675993E-2,-1.002796114E-1,-6.865040481E-2,1.274517860E-1
1.575939458E0,-1.924516015E-2,-7.084635406E-2,1.623128593E-2,7.518667911E-2
1.585868458E0,-4.608412667E-2,-4.507376435E-2,8.419873595E-2,1.060415867E-1
1.595796458E0,6.255643666E-3,-9.438358977E-2,4.019142151E-2,1.027752181E-1
1.605725458E0,7.308528948E-2,-3.195284997E-2,-7.707799673E-3,8.013647319E-2
1.615653458E0,1.545298498E-2,-3.585015625E-2,-3.240117610E-2,5.073326976E-2
1.625581458E0,-1.283448304E-2,-3.733715801E-2,5.621513128E-3,3.987967819E-2
1.635510458E0,1.233451869E-2,-5.984487263E-2,1.805210888E-2,6.371363878E-2
1.645438458E0,4.134858549E-3,-5.463574352E-3,-3.462779582E-2,3.529917765E-2
1.655367458E0,-3.419795237E-2,-4.703239887E-2,-9.623932242E-3,5.894206106E-2
1.665295458E0,-4.579678170E-2,3.718189616E-4,3.229826510E-2,5.604160412E-2
1.675224458E0,-8.199769780E-3,-9.460030220E-2,1.135885960E-1,1.480500677E-1
1.685152458E0,-8.251659251E-2,-2.650113450E-3,-6.364928126E-2,1.042460654E-1
1.695081458E0,1.351024119E-1,-8.443319103E-2,-1.518130141E-1,2.200654828E-1
1.705009458E0,-7.743065692E-3,-5.733641711E-2,8.155871809E-2,9.999622137E-2
1.714938458E0,3.305426440E-2,-6.938238485E-2,-4.360853434E-3,7.697737827E-2
1.724866458E0,1.136728873E-1,-1.203753313E-1,-1.681168056E-1,2.359555170E-1
1.734795458E0,-1.064570303E-1,-1.170304407E-1,1.092604870E-1,1.922682432E-1
1.744723458E0,-1.128284214E-2,-1.638911873E-1,-6.826799691E-2,1.778992501E-1
1.754651458E0,-6.101003998E-2,-1.153410705E-1,3.397875488E-2,1.348345034E-1
1.764580458E0,-1.267946696E-1,-6.943107205E-2,9.071487308E-2,1.706656093E-1
1.774508458E0,-6.281471000E-2,-6.435483006E-2,8.427241087E-2,1.232439499E-1
1.784437458E0,-2.391811785E-2,-5.439906833E-2,2.844787359E-2,6.588335532E-2
1.794365458E0,-1.019503893E-1,-2.305038191E-2,9.039795399E-4,1.045276000E-1
1.804294458E0,6.990597560E-2,-6.879611012E-2,1.220050782E-1,1.565406953E-1
1.814222458E0,2.290336099E-3,-3.099276457E-2,9.403550684E-2,9.903773848E-2
1.824151458E0,6.351659515E-2,-6.251161410E-2,-2.171538949E-1,2.347293629E-1
1.834079458E0,1.027888435E-1,-1.683018699E-2,-1.161549389E-2,1.048032501E-1
1.844008458E0,-1.290168034E-2,4.743893567E-2,2.377822870E-1,2.428112888E-1
1.853936458E0,2.167490666E-2,7.287184783E-2,-6.428078055E-2,9.955966319E-2
1.863865458E0,3.869167465E-2,1.624602274E-2,5.307985425E-2,6.766424365E-2
1.873793458E0,-7.061023618E-2,4.752048606E-2,2.090677804E-1,2.257284626E-1
1.883721458E0,4.296329409E-2,3.999934047E-3,3.527976036E-2,5.573603504E-2
1.893650458E0,6.973028504E-2,-2.422848623E-2,3.318762660E-2,8.093670834E-2
1.903578458E0,1.239184882E-2,-5.504696723E-2,1.475509787E-1,1.579715728E-1
1.913507458E0,1.448438457E-2,-1.100228817E-1,3.398986459E-3,1.110242541E-1
1.923435458E0,6.825573603E-3,-7.204592862E-2,-1.070736283E-1,1.292360869E-1
1.933364458E0,-3.561850601E-2,-7.436809550E-2,-1.302800578E-1,1.541823111E-1
1.943292458E0,-4.812397353E-2,-6.545268134E-2,1.222068071E-2,8.215421694E-2
1.953221458E0,-5.849573725E-2,-9.772601355E-2,5.758454919E-2,1.276248616E-1
1.963149458E0,-1.295166490E-1,-5.820016050E-2,-1.537846953E-1,2.093120960E-1
1.973078458E0,2.551201402E-2,-1.183024477E-1,2.763569534E-2,1.241372774E-1
1.983006375E0,-4.693346215E-2,-7.245770051E-2,1.837668782E-1,2.030348093E-1
1.992935375E0,-4.819093329E-2,-5.242147604E-2,-1.130553299E-1,1.336109458E-1
2.002863375E0,1.264302053E-1,-4.094119901E-3,-2.239676553E-1,2.572214401E-1
2.012791375E0,-2.642874780E-2,2.423493644E-2,1.020625645E-1,1.081784541E-1
2.022720375E0,-2.841944151E-2,-8.062488120E-4,1.495717764E-2,3.212525262E-2
2.032648375E0,-9.559037285E-3,3.135562085E-2,-1.181020617E-1,1.225669088E-1
2.042577375E0,-8.429010783E-2,6.899933740E-3,-7.309019566E-4,8.457520666E-2
2.052505375E0,1.583832563E-2,-2.382215956E-2,-4.233559549E-2,5.109452505E-2
2.062434375E0,7.499775840E-3,-3.719628579E-2,-2.406304657E-2,4.493150926E-2
2.072362375E0,3.741404889E-3,-8.256612025E-2,3.072039396E-1,3.181279975E-1
2.082291375E0,-5.453145294E-2,-2.816809346E-2,-7.690667331E-2,9.839592090E-2
2.092219375E0,1.858578791E-1,3.972972902E-3,-7.585826755E-2,2.007820024E-1
2.102148375E0,3.107045031E-2,-2.239792401E-2,-1.568398654E-2,4.138873417E-2
2.112076375E0,-3.400502167E-2,-4.722895668E-2,1.338538760E-1,1.459581309E-1
2.122005375E0,1.235850233E-1,-8.451633113E-2,-2.285343307E-1,2.732109231E-1
2.131933375E0,-8.985187886E-2,-7.828883632E-2,-1.119262326E-1,1.634930689E-1
2.141861375E0,-7.447615935E-2,-4.252177449E-2,1.870079899E-1,2.057347513E-1
2.151790375E0,-8.565137618E-2,-4.080222714E-2,4.421196699E-2,1.046693747E-1
2.161718375E0,-8.300109828E-2,-1.383446655E-2,-6.640273511E-2,1.071909418E-1
2.171647375E0,7.565237246E-3,-8.577026652E-2,-4.892950058E-3,8.624217294E-2
2.181575375E0,-3.841982480E-2,-4.729625448E-2,1.623122746E-1,1.733732768E-1
2.191504375E0,6.461628282E-2,-7.662013234E-2,-1.126606429E-1,1.507923378E-1
2.201432375E0,5.018369179E-2,-4.551047827E-2,-6.685530961E-2,9.518003455E-2
